,0,1,2,3,4,5,6,7,8,9
20,0.001407146,5.507469E-05,5.531311E-05,5.817413E-05,6.41346E-05,6.079674E-05,9.703636E-05,5.483627E-05,5.888939E-05,6.437302E-05
40,0.0001273155,0.0001831055,0.0001387596,0.0001535416,0.0001456738,0.0003054142,0.0001478195,0.000150919,0.0001471043,0.0001513958
60,0.000243187,0.0002584457,0.0002677441,0.0002672672,0.0002737045,0.0005538464,0.0002698898,0.0002777576,0.000259161,0.0002932549
80,0.0004191399,0.0006108284,0.0004048347,0.0005354881,0.0007071495,0.0004549026,0.0007896423,0.0004701614,0.0004544258,0.0004179478
100,0.0006248951,0.0006530285,0.0006785393,0.00118351,0.000897646,0.0007121563,0.0006523132,0.0006506443,0.0006623268,0.0006818771
120,0.0008585453,0.0009243488,0.001040697,0.0008609295,0.0008199215,0.0008394718,0.000836134,0.0008876324,0.0009353161,0.001022816
140,0.001192808,0.001298428,0.001309633,0.001214266,0.001345396,0.001269102,0.001275778,0.001312971,0.001227617,0.001266241
160,0.001557589,0.001577854,0.001607418,0.001721382,0.001572132,0.001791477,0.001667023,0.001582623,0.001520872,0.001531601
180,0.001842976,0.001896858,0.00197649,0.001960754,0.001961708,0.001881838,0.00225687,0.00200367,0.002057076,0.002094984
200,0.002239466,0.002300739,0.002276897,0.002441406,0.0024786,0.002284765,0.002403498,0.002309561,0.002763033,0.002370119
220,0.003397465,0.002790451,0.002898216,0.002752066,0.002784252,0.002765894,0.002756119,0.002765894,0.003350973,0.003011227
240,0.004330873,0.003281832,0.003446817,0.003262758,0.0033319,0.003370285,0.003576517,0.003869772,0.003274202,0.003545761
260,0.004279137,0.003962278,0.003806591,0.003846884,0.003935814,0.003878117,0.00428772,0.004027367,0.004103184,0.006264448
280,0.004538298,0.004531145,0.004558325,0.004477262,0.004644156,0.004580021,0.004435539,0.004538536,0.004669189,0.004558325
300,0.00618434,0.004981279,0.00539279,0.004937172,0.005277395,0.004937887,0.004930496,0.005039692,0.004942417,0.004932165
320,0.006249666,0.005952835,0.006675005,0.00563693,0.005809069,0.005620003,0.005658865,0.005615473,0.005722761,0.005591393
340,0.006291389,0.006301165,0.006318331,0.006321907,0.007413387,0.006352663,0.007516146,0.00639987,0.006358624,0.006333113
