,0,1,2,3,4,5,6,7,8,9
20,0.00105691,4.291534E-05,4.74453E-05,4.529953E-05,4.458427E-05,4.291534E-05,3.862381E-05,4.220009E-05,4.673004E-05,5.865097E-05
40,5.221367E-05,8.893013E-05,0.0001678467,8.249283E-05,0.00010252,9.679794E-05,8.153915E-05,9.679794E-05,9.346008E-05,8.72612E-05
60,9.059906E-05,0.0001168251,0.0001111031,0.0001311302,0.0001170635,0.0001142025,0.0001461506,0.0001447201,0.0002362728,0.0001263618
80,0.0001375675,0.0001645088,0.0001678467,0.0001564026,0.0001626015,0.0002009869,0.0004560947,0.0001840591,0.0001695156,0.0001678467
100,0.0001432896,0.0001866817,0.0001661777,0.0001695156,0.0002691746,0.0002670288,0.0002505779,0.0002553463,0.000241518,0.0002062321
120,0.0001864433,0.0002245903,0.0002126694,0.0003867149,0.0003697872,0.0003430843,0.0003120899,0.0002808571,0.0002634525,0.0002846718
140,0.0002324581,0.0003080368,0.0004537106,0.000436306,0.0004463196,0.0003609657,0.0003278255,0.0003142357,0.0002906322,0.0002532005
160,0.0003840923,0.0005567074,0.0005102158,0.0005557537,0.0004677773,0.0004148483,0.0006411076,0.0004262924,0.0003113747,0.0003087521
180,0.0006165504,0.000628233,0.0006115437,0.0005266666,0.0006146431,0.0004963875,0.0003993511,0.0003530979,0.000310421,0.0007512569
200,0.0007040501,0.0007693768,0.0006644726,0.0006570816,0.0005297661,0.0005466938,0.0007579327,0.0003716946,0.0009515285,0.0007562637
220,0.0008797646,0.001001358,0.000731945,0.0006802082,0.0005736351,0.0006332397,0.0004630089,0.000970602,0.000882864,0.0007948875
240,0.0008432865,0.000754118,0.0007419586,0.0005977154,0.0009455681,0.000493288,0.001115799,0.001020908,0.0009598732,0.00081563
260,0.001403332,0.0007717609,0.0007104874,0.0005972385,0.000513792,0.001232386,0.001424074,0.001056671,0.001044273,0.0009827614
280,0.000888586,0.0007603168,0.0006480217,0.000682354,0.001494408,0.001326084,0.001223564,0.001199722,0.001066923,0.0008420944
300,0.000831604,0.0007095337,0.0006444454,0.001684189,0.001668215,0.001694441,0.001249075,0.00105691,0.0009417534,0.0008525848
