positionX,positionY,positionZ,velocityX,velocityY,velocityZ,mass
2.47366,4.95062,7.8694,-4.26266,9.89511,-5.41758,2.50276
3.0554,-8.04563,1.29301,-1.75926,0.97377,-0.62984,4.04571
0.90261,-4.23337,3.86248,-3.81521,9.81777,5.46002,5.51029
-8.88479,1.67145,6.53664,5.55666,0.58957,-1.26847,0.49721
-7.53591,7.25131,6.78976,-5.36269,-7.83927,7.76577,9.23146
-2.4554,-5.77688,4.06383,-6.18241,-4.91121,1.41113,0.42608
-0.82145,-4.85043,6.00459,4.36762,-3.89638,7.7892,5.71993
-2.3184,4.57092,-3.44296,-4.5279,-8.30711,-1.41491,4.11829
3.20788,-4.38273,8.54052,2.24631,9.74276,1.59566,5.56174
5.45703,7.32002,-2.25229,-6.63226,2.89883,9.79934,2.4126
-0.09923,-8.35327,3.99538,-3.13934,1.47683,3.04818,1.90861
3.11025,8.88424,-7.10175,-1.735,-1.31287,7.40325,5.94138
-9.68504,-8.55776,0.53207,8.38348,-6.4365,5.88232,5.06741
-9.99963,-2.03439,4.02728,2.54481,-6.92231,3.66416,8.18486
4.92178,5.13586,9.57898,-0.539,-7.52676,7.52983,3.51382
7.13172,4.62834,3.27727,6.97997,9.97946,-1.75094,4.80381
-5.01088,-4.38255,5.82704,7.43817,-3.06678,0.00458,6.90658
1.93392,-0.71731,-0.92603,-9.36695,-5.91234,-1.02016,9.22301
-8.84615,-9.4586,7.19486,3.68398,8.30536,1.34635,4.47735
-0.24615,1.00873,5.44524,8.46025,1.66352,5.96597,5.03068
4.90204,-9.58047,2.98035,-9.67276,-2.89759,-8.96385,6.01973
-1.58188,-5.10729,5.57935,2.6306,6.01531,6.74731,2.2778
8.27528,5.17929,7.31229,0.01589,6.38405,0.83507,5.72565
0.24868,-3.81696,3.02274,-1.22017,-9.84942,3.19131,3.19265
-1.29752,5.59705,-1.49471,-4.60405,-8.29657,6.64442,7.69086
7.7392,3.92728,-3.91425,4.58633,5.23244,-4.58344,8.35484
8.86834,1.26049,-9.33855,-9.53393,1.01789,-2.2913,3.8266
-1.1475,0.8769,2.72406,1.99089,9.57627,-0.65647,4.90024
6.49398,-9.01025,2.45984,-5.80887,-7.80224,2.12207,2.98278
-6.83701,-4.5088,0.88325,-2.96439,4.77063,-0.33595,8.6025
3.45434,8.53334,3.82563,3.31464,-6.39062,1.60246,4.73412
-0.23688,3.30692,7.74345,4.20853,-5.16882,-3.19772,6.87475
-5.95254,5.99534,6.99033,7.15508,-2.17312,-6.1807,7.79434
-6.91187,2.78545,6.33284,0.96201,-5.31348,-3.12617,1.61655
0.69492,7.14585,-8.31407,-0.52701,-6.49064,6.1946,9.54314
5.73558,8.64785,0.57045,-4.76607,-0.8927,6.32729,8.76031
